latitude,longitude,name
50.723401,-3.531847,Exeter Guildhall
50.72351,-3.530143,Loake
50.723538,-3.530277,The Ship Inn
50.723596,-3.530811,Laura Ashley
50.723657,-3.530708,Skechers
50.723694,-3.53486,City Gate Hotel
50.72377,-3.531234,Marks And Spencer
50.723788,-3.529385,Catherine Street Almshouses
50.723805,-3.530693,High Street
50.723906,-3.528743,Bedford Street
50.723957,-3.530546,Lakeland
50.723964,-3.532534,Guildhall Shopping Centre
50.724269,-1.855238,Langtry Manor Hotel
50.724581,-3.531389,Coolings
50.724779,-3.529179,Cooperative Bank
50.724793,-3.529899,Musgrave Row
50.724838,-2.934235,The Royal Lion Hotel
50.724878,-3.531503,Gandy Street
50.724886,-2.934915,Broad Street
50.7251,-2.9354,Boots the Chemist
50.72528,-3.531379,Exeter Phoenix
50.725497,-3.533654,Mercure Exeter Rougemont Hotel
50.725501,-3.529078,Hole In The Wall
50.726394,-3.525353,Sidwell Street
50.726395,-3.530101,The Old Courts
50.726456,-3.531346,Northenhay Gardens
50.726805,-3.524167,Cellys Hair Salon
50.72788,-2.457242,Wolfeton House
50.728285,-2.388128,Thorncombe Wood
50.728527,-3.536202,Bury Meadow Park
50.72946,-1.953995,Constitution Hill
50.730259,-3.539671,The Imperial
50.730883,-0.785606,Fishermans Joy
50.730948,-4.007983,Okehampton Castle
50.73182,-2.401848,A35 Layby
50.73203,-2.815927,George Inn
50.732176,-2.263467,Culpeppers Dish
50.732517,-2.757913,Bridport Museum
50.733138,-2.756179,The Bull Hotel
50.733214,-2.756299,Bridgets Market
50.733514,-1.311903,Tarra House
50.733904,-1.775867,Ye Olde George Inn
50.73473,-2.27901,Rimsmoor Pond
50.7355,-3.492174,Summer Lane Tunnel
50.736644,-3.535055,University of Exeter Streatham Campus
50.737532,-4.005821,High Street
50.737863,0.247063,Beachy Head
50.738176,-1.713908,Highcliffe Castle
50.738268,0.214537,Belle Tout Lighthouse
50.738832,-4.00335,White Hart Hotel
50.7415,-3.07,Church of St Andrew
50.741866,-3.07176,Colyton Vicarage
50.74419,-4.365352,Holy Cross Church
50.744667,-2.751225,Gipsy Lane
50.746152,-3.028078,Parish Church of St Michael
50.747631,-2.326531,Athelhampton House
50.749074,-2.720395,Yellow Lane
50.749358,-2.293241,The Martyrs Inn
50.749417,-2.296868,The Tolpuddle Martyrs Tree
50.750229,-2.651633,Eggardon Hill
50.750391,-1.269431,Osborne House
50.751291,0.206748,Birling Manor
50.751332,-2.455925,Herrison Hall
50.752802,-3.279281,Ottery St Mary Parish Church
50.756659,-2.061003,Lytchett Heath Wood
50.758727,-1.540699,The Angel and Blue Pig Inn
50.759018,0.205775,Tiger Inn
50.760872,-1.5326972,The Ferryman
50.763235,0.285162,Devonshire Park Theatre
50.764644,-1.298696,The Union Inn
50.765506,-1.300195,Trinity Theatre
50.766281,0.294512,Eastbourne Pier
50.766749,-4.550706,Parish Church Of Poundstock
50.767565,0.107072,The Lodge
50.767809,0.289536,The Town House
50.768881,-1.902565,The Acorn
50.768964,-0.779109,Crab and Lobster Inn
50.769243,0.292795,Royal Hippodrome
50.7697,-4.5244,Penfound Manor
50.771874,-1.905005,St Andrews Church
50.772186,-3.061995,Old Shute House
50.772333,0.261858,The Tally Ho
50.772364,0.268396,The Prince Albert
50.772669,0.266825,The Lamb
50.773872,-1.141015,Fort Gilkicker
50.7738,0.1006,Twyn House
50.77399,0.300454,Redoubt Fortress and Military Museum
50.779134,-2.574044,St Marys Church
50.779618,-0.735037,The Lion
50.780959,-3.067992,Shute Pillars
50.781139,-0.675883,Sheiks
50.78271,-0.675614,Unicorn Club
50.78326,0.054447,Newhaven Fort
50.78445,-0.67215,Bradlaw House
50.786239,-0.677145,Picturedrome Cinema
50.788889,-1.032713,Fort Cumberland
50.789913,-1.11349,Blockhouse Point
50.79245,-1.542189,St John The Baptist Church
50.795085,0.257213,Willingdon Roundabout
50.796212,-2.854037,St Stephens Church
50.796274,-1.093325,Brewhouse and Kitchen
50.796467,-1.093179,New Theatre Royal Portsmouth
50.798002,-1.420557,Bucklers Hard Maritime Museum
50.7989,-1.094,Victoria Park
50.799149,0.251159,The Wheatsheaf
50.7994,-2.8507,Bettiscombe Manor
50.799835,-1.988239,The Oddfellows Arms
50.800109,-1.986437,Mill Lane
50.801514,-1.572086,The Filly Inn
50.801755,-1.109547,HMS Victory
50.8026,-1.1066,HM Naval Base
50.805154,0.15542,Deans Place Hotel
50.8051,0.2252,Filching Manor
50.805576,-0.05859,The Rottingdean Club
50.805849,-0.057358,The Grange
50.806164,0.157791,Alfriston Clergy House
50.807664,0.156536,The Star Inn
50.80819,0.15623,Ye Olde Smugglers Inne
50.808427,-2.740856,St Marys Church
50.808661,-0.384217,MGM House
50.808686,0.155822,Tuckvar House
50.808751,-2.476929,The New Inn
50.808993,-0.54351,Quality Textiles
50.809381,-0.543318,The Dolphin
50.8096,-0.540926,Ahead to Toe
50.813234,-0.432444,Bulls Head
50.813575,-0.370359,Connaught Theatre
50.814097,-0.372459,Worthing Library
50.814697,-1.153788,Fort Brockhurst
50.816665,-0.112545,The Curzon
50.8176,0.3291,St Marys Church
50.818408,-1.45136,Montagu Arms
50.819055,-0.151891,West Pier
50.819192,0.334158,Pevensey Castle
50.819329,0.243301,The Old Rectory
50.819592,-0.135842,Sealife Brighton
50.819748,-0.137176,The Royal Albion Hotel
50.819981,0.335423,The Royal Oak and Castle
50.820029,-0.131028,Brighton Rocks
50.82014,0.336438,Pevensey Court House Museum and Gaol
50.820182,-0.139652,The Pipeline
50.820299,-1.451624,Palace House
50.8202,0.3354,Ye Olde Mint House
50.820379,-1.956206,Barley Mow Inn
50.820442,0.337144,The Smugglers Inn
50.820641,0.338213,High Street
50.820682,-0.139955,Old Police Cells Museum
50.820989,0.340057,Pevensey Bridge
50.821189,-0.141175,The Black Lion
50.821263,-0.141151,The Cricketers
50.82129,-0.14159,Black Lion Lane
50.821405,-0.147396,The Grand Hotel
50.821551,-4.07261,The George Hotel
50.821713,-0.149704,Smokeys
50.821748,-0.140923,Meeting House Lane
50.821749,-0.14011,The Druids Head
50.821782,-0.142632,The Brighton Hippodrome
50.821895,-1.449835,Beaulieu Abbey
50.822298,-0.136018,The Marlborough Pub And Theatre
50.82235,-0.13768,Royal Pavilion
50.823234,-0.139672,The Colonnade Bar
50.823273,-0.150468,The Regency Hotel
50.823351,-0.1397,Theatre Royal Brighton
50.823413,-0.155698,The Bedford Tavern
50.823523,-0.157302,The Southern Belle
50.824186,-0.162463,The Brunswick
50.824266,-0.578022,The Church Of Saint Andrew By The Ford
50.824585,-1.073749,Green Posts
50.824693,-0.149033,The Brighton Beer Dispensary
50.8246,-0.1371,The King And Queen
50.825355,-0.480468,Angmering Community Centre
50.825358,-0.144853,St Nicholas Church
50.825444,-0.160065,The Bow Street Runner
50.826433,-2.052335,Badbury Rings
50.826465,-1.701187,A Coven Of Witches
50.826575,-0.165982,Hove Place
50.82744,-0.445107,Highdown Hill
50.82845,-0.54436,The Six Bells
50.828483,-0.480582,Angmering Manor Hotel
50.828652,-0.472851,Ecclesden Lane
50.828695,-0.141851,The Grand Central
50.82891,-0.859483,Holy Trinity Church
50.829069,-4.548752,The Castle Bude
50.829293,-0.484026,The Lamb at Angmering
50.829587,-0.272109,Waterside Inn
50.8295,-0.8586,Bosham Manor
50.829685,-0.181139,Hove Museum and Art Gallery
50.83151,-0.514597,St Nicholas Church
50.831729,-0.276104,Crown and Anchor Inn
50.832339,-0.27738,Suters Yard
50.83367,-0.271317,Co-Operative Supermarket
50.833726,-0.145456,The Prestonville Arms
50.834101,-0.128723,The Bugle Inn
50.835116,-0.777863,Pallant House Gallery
50.83525,-1.710431,Tyrells Lane
50.835293,-2.982642,St Andrews Church
50.835756,-0.779512,The Buttery at the Crypt
50.835864,-0.811311,Willow Cottage
50.836063,-0.772836,The Electric Lady
50.836247,-0.78055,Chichester Cathedral
50.836269,-0.773263,The Giggling Squid
50.836376,-0.776578,Ernest Jones
50.836503,-0.77811,Lloyds Bank
50.836536,-0.778297,Smiggle
50.836857,-0.784074,Chichester Inn
50.837963,-1.114783,Portchester Castle
50.838697,-0.351826,St Mary The Virgin Church
50.839717,-0.491013,New Place Farm
50.839814,-0.775799,Chichester Castle
50.840926,-0.255847,Southlands Hospital
50.8413,-0.5148,St Johns Priory
50.8423,-0.1495,St Peters Church
50.842498,-0.150081,Preston Manor
50.842565,-2.911396,Forde Abbey
