year,sex,name,n,rank,nation
1997,F,Chantelle,557,92,England & Wales
1997,M,Alfie,565,92,England & Wales
1997,F,Kimberley,551,93,England & Wales
1997,M,Christian,562,93,England & Wales
1997,F,Imogen,548,94,England & Wales
1997,M,Calum,554,94,England & Wales
1997,F,Madeleine,540,95,England & Wales
1997,M,Muhammad,552,95,England & Wales
1997,F,Beth,536,96,England & Wales
1997,M,Timothy,550,96,England & Wales
1997,F,Erin,532,97,England & Wales
1997,M,Kane,549,97,England & Wales
1997,F,Gabrielle,527,98,England & Wales
1997,M,Rory,541,98,England & Wales
1997,F,Tia,525,99,England & Wales
1997,M,Dean,538,99,England & Wales
1997,F,Isabelle,509,100,England & Wales
1997,M,Harvey,534,100,England & Wales
1998,F,Chloe,9628,1,England & Wales
1998,M,Jack,9845,1,England & Wales
1998,F,Emily,6550,2,England & Wales
1998,M,Thomas,9468,2,England & Wales
1998,F,Megan,6247,3,England & Wales
1998,M,James,9197,3,England & Wales
1998,F,Jessica,5719,4,England & Wales
1998,M,Daniel,7732,4,England & Wales
1998,F,Sophie,5682,5,England & Wales
1998,M,Joshua,7672,5,England & Wales
1998,F,Charlotte,5430,6,England & Wales
1998,M,Matthew,7171,6,England & Wales
1998,F,Hannah,5052,7,England & Wales
1998,M,Samuel,6072,7,England & Wales
1998,F,Lauren,4955,8,England & Wales
1998,M,Callum,5600,8,England & Wales
1998,F,Rebecca,4767,9,England & Wales
1998,M,Joseph,5411,9,England & Wales
1998,F,Lucy,4515,10,England & Wales
1998,M,Jordan,5158,10,England & Wales
1998,F,Amy,4311,11,England & Wales
1998,M,Connor,5155,11,England & Wales
1998,F,Georgia,4257,12,England & Wales
1998,M,Ryan,4992,12,England & Wales
1998,F,Katie,4093,13,England & Wales
1998,M,Luke,4934,13,England & Wales
1998,F,Bethany,4068,14,England & Wales
1998,M,William,4879,14,England & Wales
1998,F,Emma,3565,15,England & Wales
1998,M,Harry,4761,15,England & Wales
1998,F,Olivia,3550,16,England & Wales
1998,M,Benjamin,4643,16,England & Wales
1998,F,Courtney,3251,17,England & Wales
1998,M,George,4540,17,England & Wales
1998,F,Shannon,2904,18,England & Wales
1998,M,Lewis,4518,18,England & Wales
1998,F,Eleanor,2724,19,England & Wales
1998,M,Alexander,4460,19,England & Wales
1998,F,Jade,2497,20,England & Wales
1998,M,Oliver,3970,20,England & Wales
1998,F,Ellie,2492,21,England & Wales
1998,M,Adam,3811,21,England & Wales
1998,F,Abigail,2485,22,England & Wales
1998,M,Jake,3760,22,England & Wales
1998,F,Holly,2419,23,England & Wales
1998,M,Michael,3514,23,England & Wales
1998,F,Molly,2413,24,England & Wales
1998,M,Liam,3486,24,England & Wales
1998,F,Laura,2299,25,England & Wales
1998,M,Nathan,3211,25,England & Wales
1998,F,Alice,2143,26,England & Wales
1998,M,Kieran,2731,26,England & Wales
1998,F,Sarah,2062,27,England & Wales
1998,M,Jacob,2686,27,England & Wales
1998,F,Caitlin,1965,28,England & Wales
1998,M,Cameron,2655,28,England & Wales
